No.,Year,State,Process,Measure,killer,Compound,Value
49,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,INSECTICIDE,(CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329),0.00
50,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,INSECTICIDE,(DIAZINON = 57801),2900.00
51,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,INSECTICIDE,(ESFENVALERATE = 109303),0.00
52,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,INSECTICIDE,(FLUPYRADIFURONE = 122304),0.00
53,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,INSECTICIDE,(IMIDACLOPRID = 129099),900.00
54,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,INSECTICIDE,(MALATHION = 57701),9800.00
55,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,INSECTICIDE,(METHOMYL = 90301),0.00
56,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,INSECTICIDE,(PERMETHRIN = 109701),0.00
57,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,INSECTICIDE,(PHOSMET = 59201),4000.00
58,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,INSECTICIDE,(SPINETORAM = 110007),200.00
59,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,INSECTICIDE,(SPINOSAD = 110003),100.00
60,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,INSECTICIDE,(THIAMETHOXAM = 60109),0.00
61,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,INSECTICIDE,(TOTAL),19300.00
62,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,INSECTICIDE,(ZETA-CYPERMETHRIN = 129064),300.00
63,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,OTHER,(ALKYL. DIM. BENZ. AM = 69105),0.00
64,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,OTHER,(CUPRAMMONIUM ACETATE = 36011),0.00
65,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,OTHER,(CYANAMID = 14002),0.00
66,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,OTHER,(CYTOKININS = 116801),0.00
67,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,OTHER,(DECYLDIMETHYLOCTYL = 69165),0.00
68,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,OTHER,(DIDECYL DIM. AMMON. = 69166),0.00
69,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,OTHER,(DIMETHYLDIOCTYL = 69149),0.00
70,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,OTHER,(GIBBERELLIC ACID = 43801),500.00
71,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,OTHER,(INDAZIFLAM = 80818),0.00
72,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,OTHER,(INDOLEBUTYRIC ACID = 46701),0.00
73,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,OTHER,(MINERAL OIL = 63502),0.00
74,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,OTHER,(REYNOUTRIA SACHALINE = 55809),0.00
75,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,OTHER,(TOTAL),3700.00
76,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(AZOXYSTROBIN = 128810),0.19
77,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482),0.00
78,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(BACILLUS SUBTILIS = 6479),0.00
79,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(BORAX DECAHYDRATE = 11102),0.00
80,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(BOSCALID = 128008),0.29
81,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(CALCIUM POLYSULFIDE = 76702),4.10
82,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(CAPTAN = 81301),1.69
83,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(CHLOROTHALONIL = 81901),2.48
84,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(COPPER CHLORIDE HYD. = 23501),0.00
85,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(COPPER HYDROXIDE = 23401),0.00
86,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(COPPER SULFATE = 24401),0.00
87,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(CYPRODINIL = 288202),0.28
88,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(DIFENOCONAZOLE = 128847),0.00
89,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(FENBUCONAZOLE = 129011),0.09
90,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(FENHEXAMID = 90209),0.00
91,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(FLUDIOXONIL = 71503),0.19
92,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(MEFENOXAM = 113502),0.00
93,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(METCONAZOLE = 125619),0.09
94,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(MONO-POTASSIUM SALT = 76416),1.55
95,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(MYCLOBUTANIL = 128857),0.00
96,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(POLYOXIN D ZINC SALT = 230000),0.00
97,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(PROPICONAZOLE = 122101),0.15
98,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(PROTHIOCONAZOLE = 113961),0.00
99,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(PYRACLOSTROBIN = 99100),0.15
100,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(SULFUR = 77501),0.00
101,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(TEBUCONAZOLE = 128997),0.00
102,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,FUNGICIDE,(TRICHODERMA HARZ. = 119202),0.00
103,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,HERBICIDE,"(2,4-D",0.00
104,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,HERBICIDE,(AMMONIUM PELARGONATE = 31802),0.00
105,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,HERBICIDE,(CLETHODIM = 121011),0.00
106,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,HERBICIDE,(CLORANSULAM-METHYL = 129116),0.00
107,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,HERBICIDE,(DIURON = 35505),1.05
108,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,HERBICIDE,(FLUMIOXAZIN = 129034),0.14
109,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,HERBICIDE,(GLUFOSINATE-AMMONIUM = 128850),0.66
110,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,HERBICIDE,(GLYPHOSATE = 417300),0.00
111,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,HERBICIDE,(GLYPHOSATE AMM. SALT = 103604),0.00
112,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,HERBICIDE,(GLYPHOSATE ISO. SALT = 103601),1.22
113,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,HERBICIDE,(GLYPHOSATE POT. SALT = 103613),0.00
114,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,HERBICIDE,(ORYZALIN = 104201),1.68
115,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,HERBICIDE,(OXYFLUORFEN = 111601),0.00
116,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,HERBICIDE,(PARAQUAT = 61601),0.47
117,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,HERBICIDE,(PENOXSULAM = 119031),0.00
118,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,HERBICIDE,(SIMAZINE = 80807),1.96
119,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,INSECTICIDE,(ACEPHATE = 103301),0.00
120,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,INSECTICIDE,(ACETAMIPRID = 99050),0.09
121,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,INSECTICIDE,(BIFENTHRIN = 128825),0.09
122,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,INSECTICIDE,(CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329),0.00
123,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,INSECTICIDE,(DIAZINON = 57801),0.46
124,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,INSECTICIDE,(ESFENVALERATE = 109303),0.00
125,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,INSECTICIDE,(FLUPYRADIFURONE = 122304),0.00
126,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,INSECTICIDE,(IMIDACLOPRID = 129099),0.12
127,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,INSECTICIDE,(MALATHION = 57701),0.72
128,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,INSECTICIDE,(METHOMYL = 90301),0.00
129,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,INSECTICIDE,(PERMETHRIN = 109701),0.00
130,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,INSECTICIDE,(PHOSMET = 59201),0.82
131,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,INSECTICIDE,(SPINETORAM = 110007),0.06
132,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,INSECTICIDE,(SPINOSAD = 110003),0.08
133,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,INSECTICIDE,(THIAMETHOXAM = 60109),0.00
134,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,INSECTICIDE,(ZETA-CYPERMETHRIN = 129064),0.03
135,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,OTHER,(ALKYL. DIM. BENZ. AM = 69105),0.00
136,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,OTHER,(CUPRAMMONIUM ACETATE = 36011),0.00
137,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,OTHER,(CYANAMID = 14002),0.00
138,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,OTHER,(CYTOKININS = 116801),0.00
139,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,OTHER,(DECYLDIMETHYLOCTYL = 69165),0.00
140,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,OTHER,(DIDECYL DIM. AMMON. = 69166),0.00
141,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,OTHER,(DIMETHYLDIOCTYL = 69149),0.00
142,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,OTHER,(GIBBERELLIC ACID = 43801),0.40
143,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,OTHER,(INDAZIFLAM = 80818),0.00
144,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,OTHER,(INDOLEBUTYRIC ACID = 46701),0.00
145,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,OTHER,(MINERAL OIL = 63502),0.00
146,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION,OTHER,(REYNOUTRIA SACHALINE = 55809),0.00
147,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(AZOXYSTROBIN = 128810),0.39
148,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482),0.00
149,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(BACILLUS SUBTILIS = 6479),0.00
150,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(BORAX DECAHYDRATE = 11102),0.00
151,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(BOSCALID = 128008),0.45
152,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(CALCIUM POLYSULFIDE = 76702),4.32
153,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(CAPTAN = 81301),4.63
154,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(CHLOROTHALONIL = 81901),2.62
155,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(COPPER CHLORIDE HYD. = 23501),0.00
156,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(COPPER HYDROXIDE = 23401),0.00
157,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(COPPER SULFATE = 24401),0.00
158,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(CYPRODINIL = 288202),0.62
159,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(DIFENOCONAZOLE = 128847),0.00
160,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(FENBUCONAZOLE = 129011),0.13
161,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(FENHEXAMID = 90209),0.00
162,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(FLUDIOXONIL = 71503),0.39
163,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(MEFENOXAM = 113502),0.00
164,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(METCONAZOLE = 125619),0.14
165,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(MONO-POTASSIUM SALT = 76416),4.97
166,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(MYCLOBUTANIL = 128857),0.00
167,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(POLYOXIN D ZINC SALT = 230000),0.00
168,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(PROPICONAZOLE = 122101),0.24
169,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(PROTHIOCONAZOLE = 113961),0.00
170,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(PYRACLOSTROBIN = 99100),0.23
171,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(SULFUR = 77501),0.00
172,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(TEBUCONAZOLE = 128997),0.00
173,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,FUNGICIDE,(TRICHODERMA HARZ. = 119202),0.00
174,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,HERBICIDE,"(2,4-D",0.00
175,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,HERBICIDE,(AMMONIUM PELARGONATE = 31802),0.00
176,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,HERBICIDE,(CLETHODIM = 121011),0.00
177,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,HERBICIDE,(CLORANSULAM-METHYL = 129116),0.00
178,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,HERBICIDE,(DIURON = 35505),1.36
179,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,HERBICIDE,(FLUMIOXAZIN = 129034),0.27
180,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,HERBICIDE,(GLUFOSINATE-AMMONIUM = 128850),1.34
181,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,HERBICIDE,(GLYPHOSATE = 417300),0.00
182,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,HERBICIDE,(GLYPHOSATE AMM. SALT = 103604),0.00
183,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,HERBICIDE,(GLYPHOSATE ISO. SALT = 103601),2.56
184,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,HERBICIDE,(GLYPHOSATE POT. SALT = 103613),0.00
185,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,HERBICIDE,(ORYZALIN = 104201),2.07
186,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,HERBICIDE,(OXYFLUORFEN = 111601),0.00
187,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,HERBICIDE,(PARAQUAT = 61601),0.97
188,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,HERBICIDE,(PENOXSULAM = 119031),0.00
189,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,HERBICIDE,(SIMAZINE = 80807),2.27
190,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,INSECTICIDE,(ACEPHATE = 103301),0.00
191,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,INSECTICIDE,(ACETAMIPRID = 99050),0.14
192,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,INSECTICIDE,(BIFENTHRIN = 128825),0.20
193,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,INSECTICIDE,(CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329),0.00
194,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,INSECTICIDE,(DIAZINON = 57801),0.61
195,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,INSECTICIDE,(ESFENVALERATE = 109303),0.00
196,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,INSECTICIDE,(FLUPYRADIFURONE = 122304),0.00
197,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,INSECTICIDE,(IMIDACLOPRID = 129099),0.30
198,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,INSECTICIDE,(MALATHION = 57701),1.48
199,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,INSECTICIDE,(METHOMYL = 90301),0.00
200,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,INSECTICIDE,(PERMETHRIN = 109701),0.00
201,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,INSECTICIDE,(PHOSMET = 59201),1.18
202,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,INSECTICIDE,(SPINETORAM = 110007),0.10
203,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,INSECTICIDE,(SPINOSAD = 110003),0.15
204,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,INSECTICIDE,(THIAMETHOXAM = 60109),0.00
205,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,INSECTICIDE,(ZETA-CYPERMETHRIN = 129064),0.06
206,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,OTHER,(ALKYL. DIM. BENZ. AM = 69105),0.00
207,2019,GEORGIA,APPLICATIONS, MEASURED IN LB / ACRE / YEAR,OTHER,(CUPRAMMONIUM ACETATE = 36011),0.00
